Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:56992000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
56992000;1;01/06/2025;;1;1;"8,7429";"4,681";"6,567";13;30;1;1;1;"0,0";0;"8,4629";"8,4629";"7,3756";"6,8521";"6,3422";"5,8465";"5,8465";"6,5954";"8,3241";"7,1121";"7,9127";"7,9127";"8,7429";"7,7772";"7,3756";"6,5954";"6,5954";"5,8465";"6,3422";"6,4684";"6,3422";"5,8465";"5,8465";"5,604";"5,7248";"5,3652";"4,8987";"4,8987";"5,0139";"4,681";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
56992000;1;01/05/2025;;1;1;"11,4035";"5,604";"7,6759";1;24;1;1;1;"0,0";0;"11,4035";"10,1903";"9,602";"9,0261";"8,4629";"7,9127";"7,9127";"7,3756";"7,3756";"7,9127";"7,3756";"7,3756";"9,3125";"7,7772";"7,3756";"7,3756";"7,3756";"7,3756";"6,8521";"6,8521";"6,8521";"6,3422";"5,8465";"5,604";"7,2435";"7,1121";"6,4684";"6,8521";"6,7233";"7,3756";"9,3125";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
56992000;1;01/04/2025;;1;1;"19,365";"6,5954";"10,5858";19;9;1;1;1;"0,0";0;"9,602";"9,602";"7,6425";"7,6425";"7,3756";"7,1121";"7,3756";"7,1121";"6,5954";"7,1121";"10,7909";"9,0261";"11,7143";"9,7479";"8,1862";"10,1903";"11,7143";"19,007";"19,365";"15,07";"15,2202";"15,5222";"11,4035";"10,1903";"9,7479";"9,0261";"10,4891";"12,9866";"9,602";"11,4035";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
56992000;1;01/03/2025;;1;1;;;;;;0;0;0;"0,0";0;"6,4684";"7,6425";"7,6425";"7,6425";"10,0421";"9,602";"8,1862";"6,8521";"6,3422";"6,0926";"6,217";"6,0926";;;;;;;;;;;;;;"9,8946";"10,1903";"15,8262";"14,327";"11,7143";"9,3125";1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
56992000;1;01/02/2025;;1;1;;;;;;0;0;0;"0,0";0;"13,9708";"12,9866";"13,6399";"11,4035";;;;;;"10,7909";;"9,0261";"8,4629";"8,4629";"8,1862";"7,9127";"7,6425";"7,3756";"7,1121";"6,5954";"6,5954";"6,3422";"6,5954";"7,9127";"8,1862";"7,6425";"7,1121";"6,5954";;;;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0
56992000;1;01/01/2025;;1;1;;;;;;0;0;0;"0,0";0;"25,9017";"23,8917";"37,0179";"39,4505";"31,91";"57,7894";"169,7523";"46,0954";"302,3374";"239,7296";;"85,4455";"45,5679";"46,6255";"49,3165";"40,9431";"34,6543";"29,7003";"27,9835";"25,4939";"23,8917";"21,7645";"22,5278";"20,457";"18,3317";"16,7506";"17,0628";"16,1322";"14,7712";"15,2202";"14,6226";1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
56992000;1;01/12/2024;;1;1;;;;;;0;0;0;"0,0";0;;;;;;;"17,377";"13,6399";"11,4035";"10,1903";"9,0261";"12,028";"29,2669";"21,9543";"18,4926";"23,4984";"25,9017";"37,4989";"63,9348";"48,232";"27,5614";"21,5755";"31,0177";"207,4585";"79,1442";"63,1323";"44,5212";"32,8136";"31,0177";"32,3604";"30,1366";0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
56992000;1;01/11/2024;;1;1;;;;;;0;0;0;"0,0";0;"28,4084";"28,8362";"19,007";;;;;;;;;"20,09";"14,4746";"50,4116";"39,9453";"23,4984";"16,9064";"14,327";"13,6399";"11,7143";"11,4035";"19,365";"20,09";"19,365";"16,7506";"13,9708";"11,0957";"9,8946";"9,0261";"8,1862";;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
56992000;1;01/10/2024;;1;1;"19,365";"2,6378";"6,7721";31;1;1;1;1;"0,0";0;"2,6378";"2,797";"3,6718";"3,6718";"3,1311";"2,797";"2,8786";"2,797";"2,6378";"3,6718";"6,8521";"13,6399";"16,1322";"12,3447";"8,4629";"6,8521";"5,604";"4,8987";"4,5739";"4,1594";"4,681";"6,0926";"7,3756";"6,5954";"5,604";"4,681";"4,8987";"11,4035";"13,3118";"11,7143";"19,365";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
56992000;1;01/09/2024;;1;1;"3,6718";"2,3349";"2,8537";2;27;1;1;1;"0,0";0;"3,4862";"3,6718";"3,3955";"3,306";"3,0456";"3,2179";"3,306";"3,306";"3,1311";"3,1311";"3,1311";"2,9614";"2,9614";"2,6378";"2,6378";"2,5602";"2,6378";"2,6378";"2,6378";"2,4838";"2,6378";"2,7168";"2,6378";"2,7168";"2,7168";"2,5602";"2,3349";"2,3349";"2,3349";"2,3349";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
56992000;1;01/08/2024;;1;1;"8,1862";"3,3955";"4,7023";7;31;1;1;1;"0,0";0;"4,7894";"4,8992";"4,7894";"5,2472";"5,8465";"7,3756";"8,1862";"6,8521";"5,8465";"5,3652";"4,8992";"4,681";"4,8992";"4,8992";"4,8992";"4,4682";"4,4682";"4,1594";"4,2609";"4,0591";"3,8628";"3,8628";"3,6718";"3,4862";"3,6718";"3,8628";"3,7666";"3,6718";"3,7666";"3,8628";"3,3955";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
56992000;1;01/07/2024;;1;1;"6,9817";"4,4682";"5,9221";6;30;1;1;1;"0,0";0;"6,8521";"6,7233";"6,8521";"6,8521";"6,0926";"6,9817";"6,8521";"6,3422";"6,3422";"6,7233";"6,3422";"6,3422";"5,8465";"5,8465";"6,217";"6,217";"6,0926";"6,3422";"5,7248";"5,9691";"5,3652";"5,604";"5,3652";"5,3652";"5,1301";"4,8987";"4,8987";"4,8987";"4,7894";"4,4682";"5,2472";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56992000;1;01/06/2024;;1;1;"9,602";"6,8521";"7,6384";1;15;1;1;1;"0,0";0;"9,602";"8,8841";"8,7429";"8,4629";"8,4629";"7,9127";"7,6425";"7,3756";"7,6425";"7,6425";"7,7772";"7,6425";"7,6425";"7,2435";"6,8521";"7,1121";"7,2435";"7,2435";"7,1121";"7,1121";"7,1121";"7,1121";"7,1121";"7,3756";"7,9127";"8,3241";"7,6425";"7,3756";"6,9817";"6,8521";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
56992000;1;01/05/2024;;1;1;"11,7143";"8,4629";"9,8298";1;20;1;1;1;"0,0";0;"11,7143";"11,4035";"11,4035";"11,4035";"11,4035";"11,0957";"11,0957";"10,7909";"10,7909";"10,7909";"10,1903";"10,1903";"10,1903";"10,1903";"9,602";"9,3125";"9,0261";"9,3125";"9,602";"8,4629";"9,3125";"8,4629";"8,7429";"8,4629";"8,7429";"9,0261";"9,0261";"8,7429";"8,7429";"9,0261";"8,4629";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
56992000;1;01/04/2024;;1;1;"83,6232";"12,6642";"20,0797";1;29;1;1;1;"0,0";0;"83,6232";"32,3604";"23,4984";"20,09";"19,365";"21,9543";"17,377";"17,0628";"15,8262";"14,9204";"14,9204";"21,5755";"16,4404";"17,0628";"15,5222";"15,2202";"14,6226";"14,6226";"15,2202";"41,9518";"21,9543";"15,8262";"15,5222";"14,327";"14,6226";"13,6399";"14,6226";"13,3118";"12,6642";"12,6642";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
56992000;1;01/03/2024;;1;1;"54,3286";"15,8262";"26,2831";12;23;1;1;1;"0,0";0;"42,9714";"37,9827";"53,1962";"37,0179";"30,5757";"30,1366";"29,2669";"28,4084";"26,3123";"24,4871";"24,2879";"54,3286";"28,8362";"25,089";"22,3359";"20,457";"19,726";"18,3317";"17,377";"17,6932";"16,4404";"16,1322";"15,8262";"28,4084";"25,4939";"27,5614";"20,457";"18,0115";"19,365";"17,0628";"21,1998";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
56992000;1;01/02/2024;;1;1;;;;;;0;0;0;"0,0";0;"122,2614";"84,5322";"41,4461";"38,9585";"37,0179";"28,4084";"21,9543";"29,7003";"40,4428";"29,7003";;;"27,1422";"21,5755";"19,007";"40,9431";;"96,2606";"44,0019";"41,4461";;"155,139";"131,5372";;"68,8443";"49,8627";"42,4602";"37,0179";"33,2696";;;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;0;0
